id,device_id,timestamp,data,sensor_type
76,KPCL0022,2025-05-04 23:40:07.083,"{'unit': 'g', 'value': -0.165198, 'timestamp': '04/05/2025, 19:40:06'}",weight
77,KPCL0022,2025-05-04 23:40:11.945,"{'unit': '°C', 'value': 24.7, 'timestamp': '04/05/2025, 19:40:11'}",temperature
78,KPCL0022,2025-05-04 23:40:11.976,"{'unit': '%', 'value': 25.2, 'timestamp': '04/05/2025, 19:40:11'}",humidity
79,KPCL0022,2025-05-04 23:40:12.007,"{'unit': 'lux', 'value': 119, 'timestamp': '04/05/2025, 19:40:11'}",light
80,KPCL0022,2025-05-04 23:40:12.037,"{'unit': 'g', 'value': -0.18249, 'timestamp': '04/05/2025, 19:40:11'}",weight
81,KPCL0022,2025-05-04 23:40:16.909,"{'unit': '°C', 'value': 24.7, 'timestamp': '04/05/2025, 19:40:16'}",temperature
82,KPCL0022,2025-05-04 23:40:16.939,"{'unit': '%', 'value': 25.2, 'timestamp': '04/05/2025, 19:40:16'}",humidity
83,KPCL0022,2025-05-04 23:40:16.970,"{'unit': 'lux', 'value': 124, 'timestamp': '04/05/2025, 19:40:16'}",light
84,KPCL0022,2025-05-04 23:40:17.001,"{'unit': 'g', 'value': -0.168533, 'timestamp': '04/05/2025, 19:40:16'}",weight
85,KPCL0022,2025-05-04 23:40:21.959,"{'unit': '°C', 'value': 24.7, 'timestamp': '04/05/2025, 19:40:21'}",temperature
86,KPCL0022,2025-05-04 23:40:21.990,"{'unit': '%', 'value': 25.1, 'timestamp': '04/05/2025, 19:40:21'}",humidity
87,KPCL0022,2025-05-04 23:40:22.021,"{'unit': 'lux', 'value': 126, 'timestamp': '04/05/2025, 19:40:21'}",light
88,KPCL0022,2025-05-04 23:40:22.051,"{'unit': 'g', 'value': -0.166221, 'timestamp': '04/05/2025, 19:40:21'}",weight
89,KPCL0022,2025-05-04 23:40:26.931,"{'unit': '°C', 'value': 24.7, 'timestamp': '04/05/2025, 19:40:26'}",temperature
90,KPCL0022,2025-05-04 23:40:26.961,"{'unit': '%', 'value': 25, 'timestamp': '04/05/2025, 19:40:26'}",humidity
91,KPCL0022,2025-05-04 23:40:26.992,"{'unit': 'lux', 'value': 124, 'timestamp': '04/05/2025, 19:40:26'}",light
92,KPCL0022,2025-05-04 23:40:27.023,"{'unit': 'g', 'value': -0.191066, 'timestamp': '04/05/2025, 19:40:26'}",weight
93,KPCL0022,2025-05-04 23:40:31.976,"{'unit': '°C', 'value': 24.7, 'timestamp': '04/05/2025, 19:40:31'}",temperature
94,KPCL0022,2025-05-04 23:40:32.006,"{'unit': '%', 'value': 25, 'timestamp': '04/05/2025, 19:40:31'}",humidity
95,KPCL0022,2025-05-04 23:40:32.036,"{'unit': 'lux', 'value': 108, 'timestamp': '04/05/2025, 19:40:31'}",light
